,Question_codes,Questions
217,"['currentEmp10_0', 'currentEmp10_1', 'currentEmp10_2']","[' What is the nature of your current employment?', ' What type of contract are you employed on?', ' What type of employment do you have?']"
218,"['currentEmp11_0', 'currentEmp11_1', 'currentEmp11_2', 'currentEmp11_3']","[' What is the duration (in years) of your current contract?', ' What is the duration of your current contract? (in years)', ' What is the duration of your current contract in months?', ' What is the total duration of your current employment (in years)?']"
219,"['currentEmp12_0', 'currentEmp12_1', 'currentEmp12_2']","[' Do you work full time or part time', ' Do you work full time (36 hours or more) or part time?', ' Do you work full time or part time?']"
220,"['currentEmp1_0', 'currentEmp1_1']","[' What type of organization do you work for?', ' What type of organisation do you work for?']"
221,"['likert0[time1can]_0', 'likert0[time1can]_1', 'time1can[time1can]_0', 'time1can_0']","[' [In an average month, how much time do you spend on software development]', ' [In an average month, how much time do you spend on software development (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)]', ' In an average month, how much time do you spend on: [Software development]', ' On average, how much of your time is spent developing software?']"
222,"['likert0[time2can]_0', 'time1can[time2can]_0', 'time2can_0']","[' [In an average month, how much time do you spend on Research]', ' In an average month, how much time do you spend on: [Research]', ' On average, how much of your time is spent on research?']"
223,"['likert0[time3can]_0', 'time3can_0']","[' [In an average month, how much time do you spend on Management]', ' On average, how much time do you spend on management?']"
224,"['likert0[time4can]_0', 'time1can[time4can]_0']","[' [In an average month, how much time do you spend on Teaching]', ' In an average month, how much time do you spend on: [Teaching]']"
225,"['likert0[time5can]_0', 'time1can[time5can]_0', 'time5can_0']","[' [In an average month, how much time do you spend on Other activities]', ' In an average month, how much time do you spend on: [Other activities]', ' On average, how much time do you spend on other activities?']"
226,"['likert1[perfCheck1]_0', 'likerttime1[perfCheck1]_0']","[' [Do you receive sufficient information on the results of your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do you receive sufficient information on the results of your work?]']"
227,"['likert1[perfCheck2]_0', 'likerttime1[perfCheck2]_0']","[' [Does your work give you the opportunity to check on how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do you get the opportunity to check on how well you are doing your work?]']"
228,"['likert1[perfCheck3]_0', 'likerttime1[perfCheck3]_0']","[' [In your work, do you have access to sufficient data and information?]', ' Please rate the following propositions. There are no right or wrong answers [Do you have access to sufficient data and information to do your work?]']"
229,"['likert1[perfCheck4]_0', 'likertime2[perfCheck4]_0']","[' [Do you receive sufficient information on the purpose of your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do you receive sufficient information on the purpose of your work?]']"
230,"['likert1[perfCheck5]_0', 'likertime2[perfCheck5]_0']","[' [Does your work provide you with direct feedback on how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Does your work provide you with direct feedback on how well you are doing?]']"
231,"['likert1[perfCheck6]_0', 'likertime2[perfCheck6]_0']","[' [Does your supervisor/line manager inform you about how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Does your supervisor/line manager inform you about how well you are doing your work?]']"
232,"['likert1[perfCheck7]_0', 'likerttime1[perfCheck7]_0']","[' [Do your colleagues inform you about how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do your colleagues inform you about how well you are doing your work?]']"
233,"['likert1[turnOver1]_0', 'likertime2[turnOver1]_0']","[' [How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?]']"
234,"['likert1[turnOver2]_0', 'likertime2[turnOver2]_0', 'likert3[turnOver2]_0']","[' [How often do you look forward to another day at work?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you look forward to another day at work?]', ' [How often do you look forward to another day at work?]']"
235,"['likert1[turnOver3]_0', 'likerttime1[turnOver3]_0']","[' [How often do you consider leaving your job?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you consider leaving your job?]']"
236,"['likert1[turnOver4]_0', 'likerttime1[turnOver4]_0', 'likert3[turnOver4]_0']","[' [How often do dream about getting another job that will better suit your needs?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you dream about getting another job that will better suit your needs?]', ' [How often do you dream about getting another job that will better suit your needs?]']"
237,"['likert2[turnOver5]_0', 'likertagree1[turnOver5]_0']","[' [My current job satisfies my personal needs]', ' Please rate the following propositions. There are no right or wrong answers [My current job satisfies my personal needs]']"
238,"['likert2[turnOver6]_0', 'likertagree3[turnOver6]_0']","[' [I would accept another job at the same compensation level if I was offered it]', ' Please rate the following propositions. There are no right or wrong answers [I would accept another job at the same compensation level if I was offered it]']"
239,"['likert2[affRec1]_0', 'likert4[affRec1]_0', 'likertagree3[affRec1]_0']","["" [I am satisfied with my supervisor/line manager's confidence in me]"", "" [I am satisfied with my supervisor/line manager's confidence in me]"", "" Please rate the following propositions. There are no right or wrong answers [I am satisfied with my supervisor/line manager's confidence in me]""]"
240,"['likert2[affRec2]_0', 'likertagree2[affRec2]_0']","[' [I am satisfied with a word of thanks from my supervisor/line manager]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with a word of thanks from my supervisor/line manager]']"
241,"['likert2[affRec3]_0', 'likert4[affRec3]_0', 'likertagree2[affRec3]_0']","[' [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]', ' [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the recognition I receive from my supervisor/line manager for doing my job]']"
242,"['likert2[affRec4]_0', 'likertagree1[affRec4]_0']","[' [I am satisfied with the compliments from my supervisor/line manager concerning my work]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the compliments from my supervisor/line manager concerning my work]']"
243,"['likert2[affRec5]_0', 'likertagree3[affRec5]_0']","[' [I am satisfied with the encouragement from my supervisor/line manager while doing my job]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the encouragement from my supervisor/line manager while doing my job]']"
244,"['likert2[affSat1]_0', 'likert4[affSat1]_0', 'likertagree2[affSat1]_0']","[' [I find real enjoyment in my job]', ' [I find real enjoyment in my job]', ' Please rate the following propositions. There are no right or wrong answers [I find real enjoyment in my job]']"
245,"['likert2[affSat2]_0', 'likert4[affSat2]_0', 'likertagree2[affSat2]_0']","[' [Most days I am enthusiastic about my job]', ' [Most days I am enthusiastic about my job]', ' Please rate the following propositions. There are no right or wrong answers [Most days I am enthusiastic about my job]']"
246,"['likert2[affSat3]_0', 'likertagree1[affSat3]_0']","[' [I feel fairly well satisfied with my job]', ' Please rate the following propositions. There are no right or wrong answers [I feel satisfied with my job]']"
247,"['likert2[affSat4]_0', 'likertagree3[affSat4]_0']","[' [I like my job better than the average person]', ' Please rate the following propositions. There are no right or wrong answers [I like my job more than average]']"
248,"['likert2[percEmp1]_0', 'likert2[percEmp1]_1', 'likert4[percEmp1]_0', 'likertagree1[percEmp1]_0']","[' [It would not be very difficult for me to get an equivalent job in a different organisation]', ' [It would not be very difficult for me to get an equivalent job in a different organization]', ' [It would not be very difficult for me to get an equivalent job in a different organisation]', ' Please rate the following propositions. There are no right or wrong answers [It would not be very difficult for me to get an equivalent job in a different organisation]']"
249,"['likert2[percEmp2]_0', 'likert2[percEmp2]_1', 'likert4[percEmp2]_0', 'likertagree2[percEmp2]_0']","[' [I can think of a number of organisations that would probably offer me a job]', ' [I can think of a number of organizations that would probably offer me a job]', ' [I can think of a number of organisations that would probably offer me a job]', ' Please rate the following propositions. There are no right or wrong answers [I can think of a number of organisations that would probably offer me a job]']"
250,"['likert2[percEmp3]_0', 'likert2[percEmp3]_1', 'likert4[percEmp3]_0', 'likertagree1[percEmp3]_0']","[' [My experience is in demand on the labour market]', ' [My experience is in demand on the labor market]', ' [My experience is in demand on the labour market]', ' Please rate the following propositions. There are no right or wrong answers [My experience is in demand on the labour market]']"
251,"['likert2[percEmp4]_0', 'likert4[percEmp4]_0', 'likertagree3[percEmp4]_0']","[' [Given my qualifications and experience, getting a new job would not be very hard at all]', ' [Given my qualifications and experience, getting a new job would not be very hard at all]', ' Please rate the following propositions. There are no right or wrong answers [Given my qualifications and experience, getting a new job would not be very hard at all]']"
252,"['likert3[satisgen1]_0', 'likert5[satisgen1]_0', 'likert3[satisgen1]_1', 'likert3[satisGen1]_0', 'satisGen1[SQ001]_0']","[' [In general, how satisfied are you with Your current position]', ' [In general, how satisfied are you with [Your current position]]', ' [In general, how satisfied are you with [Your current position]]', ' [In general, how satisfied are you with your current position]', ' In general, how satisfied are you with: [Your current position]']"
253,"['likert3[satisgen2]_0', 'likert5[satisgen2]_0', 'likert3[satisgen2]_1', 'likert3[satisGen2]_0', 'satisGen1[SQ002]_0']","[' [In general, how satisfied are you with Your career]', ' [In general, how satisfied are you with [Your career]]', ' [In general, how satisfied are you with [Your career]]', ' [In general, how satisfied are you with your career]', ' In general, how satisfied are you with: [Your career]']"
254,"['open1can[A5]_0', 'open1can[SQ001]_0', 'open1can[SQ001]_1']","["" How often do you release the software projects you've worked on under an open-source licence? []"", "" How often do you release the software projects you've worked on under an open-source licence? []"", "" How often do you release the software projects you've worked on under an open-source license? []""]"
255,"['open01can_0', 'open01can_1']","[' Have you ever released your software under an open-source licence?', ' Have you ever released your software under an open-source license?']"
256,"['open3can[SQ001]_0', 'open3_can_0']","[' How often do you associate your software with a Digital Object Identifier (DOI)? []', ' When you release code or data, how often do you assign a Digital Object Identifier (DOI) to it?']"
257,"['ukrse1_1', 'ukrse1_2']","[' Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list at www.rse.ac.uk)', ' Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list)']"
258,"['paper1_0', 'paper1_1']","[' Have you contributed software to research that has been published in a journal or presented at a conference?', ' Has your software contributed to research that has been published in a journal or at a conference?']"
259,"['proj2_can_0', 'proj2can_0']","[' How many software developers typically work on your projects?', ' How many software developers typically work on your projects?']"
260,"['proj1_can_0', 'proj1can_0', 'proj1can_1']","[' How many software projects are you currently involved in?', ' How many software projects are you currently involved in?', ' How many software projects are you currently involved with?']"
261,"['soft1can_0', 'soft1can_1']","[' How many years of software development experience do you have?', ' How many years of Software development experience do you have?']"
262,"['stability2_0', 'stability2_1']","[' Is there a technical hand-over plan for your most important software project?', ' Is there a technical handover plan for your most important software project?']"
263,"['stability1_0', 'stability1_1', 'stability1[SQ001]_0']","[' What is the bus factor of your most important software project?', ' What is the bus factor of your most important software project? (the bus factor is the number of team members who if run over by a bus would put the project in jeopardy so 1 means the project is dependent on a single person)', ' What is the bus factor of your most important software project? (the bus factor is the number of team members who, if run over by a bus, would put the project in jeopardy, so 1 means the project is dependent on a single person) []']"
264,"['skill2_0', 'skill2_1', 'skill2_2']","[' What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical.', ' What three skills would you like to acquire or improve to help your work as a Research Software Engineer? The skills can be technical and non-technical.', None]"
265,"['tool2_0', 'tool2_1']","[' What is your Operating System of choice for development?', ' What Operating System do you prefer to use at work?']"
266,"['train3_0', 'train3_1', 'train3_2']","[' What training programs are you involved with (comma separated list; for example, Software Carpentry, local university training, etc.)', ' What training programs are you involved with (comma separated list) (For example, Software Carpentry, local university training, etc.)', ' What training programs are you involved with (comma separated list)?']"
267,"['rse1_0', 'rse1_1']","[' Do you write software for research as part of your job?', ' Do you write code as part of your job?']"
